via,tren,destino,hora_llegada
4,RF - ALVIA04192,Madrid Chamartín Clara Campoamor,['22:0722:36']
5,RF - REGIONAL EXPRES17226,Medina del Campo,['22:40']
4,RF - MD18007,Palencia,['23:1923:25']
,RF - AVANT08058,Madrid Chamartín Clara Campoamor,['06:23']
4,RF - MD18066,Madrid Príncipe Pío,['06:26']
,RF - AVANT08068,Madrid Chamartín Clara Campoamor,['06:45']
4A,RF - INTERURBANO12101,Gijón,['07:00']
,RF - AVE05080,València Joaquín Sorolla,['07:18']
,RF - AVANT08078,Madrid Chamartín Clara Campoamor,['07:27']
4,RF - MD18300,Salamanca La Alamedilla,['07:35']
,RF - AVE05092,Alacant / Alicante Terminal,['07:45']
,RF - AVANT08278,Madrid Chamartín Clara Campoamor,['07:55']
,RF - AVE04061,Gijón,['08:07']
,RF - ALVIA04261,Gijón,['08:07']
4,RF - REGIONAL EXPRES17201,Valladolid Universidad,['08:08']
,RF - AVANT08088,Madrid Chamartín Clara Campoamor,['08:25']
3,RF - ALVIA04087,Donostia / San Sebastián,['08:26']
3,RF - ALVIA04187,Bilbao Intermodal Abando-Indalecio Prieto.,['08:26']
4,RF - MD18002,Madrid Príncipe Pío,['08:33']
4,RF - INTERCITY10630,Zaragoza Delicias,['08:34']
,RF - AVE04060,Madrid Chamartín Clara Campoamor,['08:41']
,RF - AVE04056,Madrid Chamartín Clara Campoamor,['08:57']
4,RF - ALVIA04073,Santander,['09:02']
,RF - INTERCITY04088,Madrid Chamartín Clara Campoamor,['09:26']
5,RF - MD18304,Salamanca La Alamedilla,['09:40']
