CP,ID,PAIS,CODIGO,LATITUD,LONGITUD,DIRECCION,POBLACION,PROVINCIA,DESCRIPCION
41600,1,ESPAÑA,1003,37.2680810,-5.5485140,"C/ Virgen de los Dolores, S/N",ARAHAL,SEVILLA,ARAHAL
41620,2,ESPAÑA,1005,37.3342820,-5.4255190,"Avda. Maestro Santos Rúano, 8",MARCHENA,SEVILLA,MARCHENA
41640,3,ESPAÑA,1007,37.2338990,-5.1150260,"Avda. Estación Ferrocarril, S/N",OSUNA,SEVILLA,OSUNA
41566,4,ESPAÑA,1009,37.2223960,-4.8935190,"C/ Manuel Aranda, 3",PEDRERA,SEVILLA,PEDRERA
14500,5,ESPAÑA,2002,37.3579000,-4.8216380,Ctra. A-318 - Km. 9 - Entre los Pueblos de Puente Genil (Cordoba) y Herrera (Sevilla),PUENTEGENIL,CÓRDOBA,PUENTE GENIL-HERRERA
29540,6,ESPAÑA,2003,37.0698810,-4.7190140,"Ctra. Ma - 5406 - Estación Ferrocarril, S/N",ANTEQUERA,MÁLAGA,ANTEQUERA-SANTA ANA
29200,7,ESPAÑA,2030,37.0334437,-4.5612901,Ctra A-7281 Antigua Carretera de Córdoba S/N,ANTEQUERA,MÁLAGA,ANTEQUERA AV
23620,8,ESPAÑA,3001,37.9782190,-3.8033080,"C/ Camino Estación Ferrocarril, S/N",MENGIBAR,JAÉN,MENGÍBAR-ARTICHUELA
23007,9,ESPAÑA,3100,37.7798270,-3.7907980,"Pla. de Jaen Por la Paz, 1",JAEN,JAÉN,JAÉN
16004,10,ESPAÑA,3208,40.0351920,-2.1444100,"Avda. Cerro de la Estrella, S/N --- N-320 - Circunvalacion de Cuenca",CUENCA,CUENCA,CUENCA-FERNANDO ZÓBEL
46340,11,ESPAÑA,3213,39.5198340,-1.1276010,Autovia A3 - Salida 285,REQUENA,VALENCIA/VALÈNCIA,REQUENA-UTIEL
46007,12,ESPAÑA,3216,39.4590510,-0.3829230,"C/ San Vicente Martir, 171",VALENCIA,VALENCIA/VALÈNCIA,VALÈNCIA-JOAQUÍN SOROLLA
3400,13,ESPAÑA,3309,38.5853020,-0.8732950,"Partida de San Juan, 182",VILLENA,ALICANTE/ALACANT,VILLENA ALTA VELOCIDAD
3006,14,ESPAÑA,3410,38.2455100,-0.7667500,"Camí de Mallorca, S/N --- (Partida de Matola, Polígono 1, - 144 - Matola 1144)",ELCHEELX,ALICANTE/ALACANT,ELCHE/ELX AV
3360,15,ESPAÑA,3412,38.1227708,-0.8745727,"Camino Azarbe de Simón, S/N  -- Estación de Alta Velocidad - Cox",CALLOSADESEGURA,ALICANTE/ALACANT,CALLOSA DE SEGURA-COX
19000,16,ESPAÑA,4007,40.5873150,-3.1243010,"Ctra. N - 320 --- Sacedon-Cuenca, Km 268",YEBES,GUADALAJARA,GUADALAJARA-YEBES
50011,17,ESPAÑA,4040,41.6586576,-0.9112693,"C/ Rioja, 33",ZARAGOZA,ZARAGOZA,ZARAGOZA DELICIAS
43765,18,ESPAÑA,4104,41.1920660,1.27266600,"C/ Mas L'Hereuet, S/N",TARRAGONA,TARRAGONA,CAMP DE TARRAGONA
17740,19,ESPAÑA,4307,42.2647710,2.94354700,"Avda. Puig Grau, S/N",VILAFANT,GIRONA,FIGUERES-VILAFANT
18014,20,ESPAÑA,5000,37.1840380,-3.6091540,"Avda. de los Andaluces, S/N",GRANADA,GRANADA,GRANADA
18300,21,ESPAÑA,5012,37.1753720,-4.1348410,"C/ Fuente Don Pedro, S/N",LOJA,GRANADA,LOJA
48860,143,ESPAÑA,5484,43.2158138,-3.1312555,"Avda. Sabino Arana, S/N",ZALLA,BIZKAIA,MIMETIZ
30840,260,ESPAÑA,6002,37.8494024,-1.4145141,"C/ la Estación,  8",ALHAMADEMURCIA,MURCIA,ALHAMA DE MURCIA
30850,261,ESPAÑA,6003,37.7635424,-1.4956153,Camino de la Estación S/N,TOTANA,MURCIA,TOTANA
30800,262,ESPAÑA,6006,37.6721129,-1.6962305,"C/ Alameda de Menchiron, S/N",LORCA,MURCIA,LORCA-SUTULLENA
30880,263,ESPAÑA,7004,37.4098650,-1.5725342,"Paseo de la Estación, S/N",AGUILAS,MURCIA,ÁGUILAS
40006,264,ESPAÑA,8004,40.9105770,-4.0945640,"Paseo Campos de Castilla, S/N",SEGOVIA,SEGOVIA,SEGOVIA-GUIOMAR
36201,265,ESPAÑA,8223,42.2341890,-8.7137280,Rúa Vía Norte S/N,VIGO,PONTEVEDRA,VIGO URZAIZ
36818,266,ESPAÑA,8224,42.284509,-8.603573,"Estrada de Pazos, 10",REDONDELA,PONTEVEDRA,REDONDELA AV
47400,267,ESPAÑA,8240,41.3174590,-4.9100710,"Ctra. Vp-8904 de las Salinas, Km 1,500",MEDINADELCAMPO,VALLADOLID,MEDINA DEL CAMPO AV
49320,268,ESPAÑA,8247,42.0450532,-6.5631319,"Carretera N-525 P.k. 78+100,  Polígono 34 Parcela 9006",PUEBLADESANABRIA,ZAMORA,SANABRIA AV
32540,269,ESPAÑA,8251,42.0635401,-7.1355604,"Rúa Viana, S/N",GUDINAA,OURENSE,A GUDIÑA-PORTA DE GALICIA
28008,270,ESPAÑA,10000,40.4214895,-3.7189689,"Paseo de la Florida, 2",MADRID,MADRID,MADRID-PRÍNCIPE PÍO
28023,271,ESPAÑA,10001,40.4484551,-3.7855547,"Avda. del Talgo, S/N - Rosas de Aravaca, S/N",MADRID,MADRID,ARAVACA
28224,272,ESPAÑA,10002,40.4474569,-3.8002779,Pza. de la Estación S/N,POZUELODEALARCON,MADRID,POZUELO
28230,273,ESPAÑA,10005,40.4942887,-3.8681747,Ctra. de la Coruña Km.,ROZASDEMADRIDLAS,MADRID,LAS ROZAS
28230,274,ESPAÑA,10100,40.5222672,-3.8822477,"Avenida Bomberos S/N, las Rozas de Madrid (Madrid)",ROZASDEMADRIDLAS,MADRID,PINAR DE LAS ROZAS
28290,275,ESPAÑA,10101,40.5523869,-3.8967664,"Paseo del Ferrocarril, S/N",ROZASDEMADRIDLAS,MADRID,LAS MATAS
28250,276,ESPAÑA,10103,40.5745540,-3.9566013,Pza. Salvador Sanchez Frascuelo S/N,TORRELODONES,MADRID,TORRELODONES
28420,277,ESPAÑA,10104,40.6003138,-3.9822590,"Carretera de Galapagar A la Navata S/N, Galapagar (Madrid)",GALAPAGAR,MADRID,GALAPAGAR-LA NAVATA
28400,278,ESPAÑA,10200,40.6264893,-4.0080301,Pza. de la Estación S/N,COLLADOVILLALBA,MADRID,VILLALBA DE GUADARRAMA
28292,279,ESPAÑA,10201,40.6178953,-4.0310749,Avda. Saltos del Sil S/N,GALAPAGAR,MADRID,SAN YAGO
28292,280,ESPAÑA,10202,40.6093116,-4.0463626,"Camino de la Estación, S/N",SANLORENZODEELESCORIAL,MADRID,LAS ZORRERAS-NAVALQUEJIGO
28280,281,ESPAÑA,10203,40.5853675,-4.1324053,"Calle Santa Rosa 85, El Escorial (Madrid)",SANLORENZODEELESCORIAL,MADRID,EL ESCORIAL
28293,282,ESPAÑA,10204,40.5389272,-4.1580662,"C/ del Ferrocarril, S/N",ZARZALEJO,MADRID,ZARZALEJO
28294,283,ESPAÑA,10205,40.5208244,-4.2467592,"Avda. Estación Ferrocarril, S/N",ROBLEDODECHAVELA,MADRID,ROBLEDO DE CHAVELA
28296,284,ESPAÑA,10206,40.5690010,-4.2691255,"C/ Doce de Octubre, S/N",SANTAMARIADELAALAMEDA,MADRID,SANTA MARÍA DE LA ALAMEDA-PEGUERINOS
5230,285,ESPAÑA,10207,40.5892050,-4.3622590,"Avda. Estación Ferrocarril, S/N",NAVASDELMARQUESLAS,ÁVILA,LAS NAVAS DEL MARQUÉS
5240,286,ESPAÑA,10208,40.5911520,-4.4083820,"Avda. Estación Ferrocarril, S/N",NAVALPERALDEPINARES,ÁVILA,NAVALPERAL
28296,287,ESPAÑA,10209,40.5675870,-4.2835410,"C/ Estación Ferrocarril, S/N",SANTAMARIADELAALAMEDA,MADRID,EL PIMPOLLAR
5294,288,ESPAÑA,10300,40.5992750,-4.4950390,"Avda. Estación Ferrocarril, S/N",HERRADONDEPINARES,ÁVILA,HERRADÓN-LA CAÑADA
5004,289,ESPAÑA,10302,40.6490620,-4.6149870,"Avda. Estación Ferrocarril, S/N",AVILA,ÁVILA,GUIMORCONDO
5001,290,ESPAÑA,10400,40.6572550,-4.6833120,"Paseo Estación Ferrocarril, S/N",AVILA,ÁVILA,ÁVILA
5200,291,ESPAÑA,10409,41.0471230,-4.7019880,"C/ Deposito, S/N",AREVALO,ÁVILA,ARÉVALO
47400,292,ESPAÑA,10500,41.3176170,-4.9099230,"Avda. Estación Ferrocarril, 27",MEDINADELCAMPO,VALLADOLID,MEDINA DEL CAMPO
47220,293,ESPAÑA,10501,41.3679200,-4.8360010,"C/ Estación Ferrocarril, S/N",POZALDEZ,VALLADOLID,POZALDEZ
47230,294,ESPAÑA,10502,41.4227940,-4.8010250,"C/ Camino Estación Ferrocarril, S/N",MATAPOZUELOS,VALLADOLID,MATAPOZUELOS
47240,295,ESPAÑA,10503,41.4887290,-4.7729370,"Avda. Valladolid, S/N",VALDESTILLAS,VALLADOLID,VALDESTILLAS
47150,296,ESPAÑA,10504,41.5240700,-4.7544890,"C/ Estación Ferrocarril, S/N",VIANADECEGA,VALLADOLID,VIANA
47007,297,ESPAÑA,10600,41.6421670,-4.7269860,"C/ Recondo, S/N",VALLADOLID,VALLADOLID,VALLADOLID-CAMPO GRANDE
47260,298,ESPAÑA,10602,41.7372760,-4.6512940,"C/ Estación Ferrocarril, S/N",CABEZONDEPISUERGA,VALLADOLID,CABEZÓN DEL PISUERGA
47281,299,ESPAÑA,10603,41.7664460,-4.6234850,"Camino Estación Ferrocarril, S/N",CORCOS,VALLADOLID,CORCOS-AGUILAREJO
47290,300,ESPAÑA,10604,41.8088610,-4.5797540,"C/ Camino del Apeadero, S/N",CUBILLASDESANTAMARTA,VALLADOLID,CUBILLAS DE SANTA MARTA
34210,301,ESPAÑA,10605,41.8704800,-4.5412160,"C/ Estación Ferrocarril, 7",DUENAS,PALENCIA,DUEÑAS
47011,302,ESPAÑA,10610,41.6602570,-4.7040370,"Ctra. Juan Carlos I, S/N",VALLADOLID,VALLADOLID,VALLADOLID UNIVERSIDAD
34200,303,ESPAÑA,11000,41.9173600,-4.4958440,"C/ Linea Ferrocarril, 3 - 7",VENTADEBANOS,PALENCIA,VENTA DE BAÑOS
34220,304,ESPAÑA,11004,41.9765610,-4.4321140,"Avda. Virgen de Villaverde, S/N",MAGAZDEPISUERGA,PALENCIA,MAGAZ
34250,305,ESPAÑA,11006,42.0799740,-4.1985800,"C/ Aselmo Arenillas, S/N",QUINTANADELPUENTE,PALENCIA,QUINTANA DEL PUENTE
9118,306,ESPAÑA,11009,42.2157170,-3.9993960,"Ctra. Estación Ferrocarril, S/N",VILLAQUIRANDELOSINFANTES,BURGOS,VILLAQUIRÁN
9006,307,ESPAÑA,11014,42.3711970,-3.6663080,"Avda. Principe de Asturias, S/N",BURGOS,BURGOS,BURGOS-ROSA MANZANO
9240,308,ESPAÑA,11109,42.5427650,-3.3192870,"C/ Vía Ferrea, S/N",BRIVIESCA,BURGOS,BRIVIESCA
9280,309,ESPAÑA,11111,42.6304860,-3.1123070,"C/ Estación Ferrocarril, 2",PANCORBO,BURGOS,PANCORBO
9200,310,ESPAÑA,11200,42.6910240,-2.9403660,"Pza. Estación Ferrocarril, S/N",MIRANDADEEBRO,BURGOS,MIRANDA DE EBRO
1220,311,ESPAÑA,11203,42.7428990,-2.8675010,"C/ Rio Zadorra Kalea, S/N",RIBERABAJAERRIBERABEITIA,ARABA/ÁLAVA,MANZANOS
9294,312,ESPAÑA,11204,42.7652450,-2.8303850,"C/ Estación Ferrocarril, S/N",PUEBLADEARGANZONLA,BURGOS,LA PUEBLA DE ARGANZÓN
1230,313,ESPAÑA,11205,42.8162160,-2.8049420,"La Estación Kalez, S/N",IRUNAOKAIRUNADEOCA,ARABA/ÁLAVA,NANCLARES-LANGRAIZ
1005,314,ESPAÑA,11208,42.8415170,-2.6726010,"Plazuela de la Estación, 1",VITORIAGASTEIZ,ARABA/ÁLAVA,VITORIA-GASTEIZ
1240,315,ESPAÑA,11210,42.8487230,-2.5146680,"C/ Estación Ferrocarril, S/N",ALEGRIADULANTZI,ARABA/ÁLAVA,ALEGRÍA-DULANTZI
1200,316,ESPAÑA,11212,42.8464300,-2.3892100,"C/ Trebiño Kalea, S/N",SALVATIERRAAGURAIN,ARABA/ÁLAVA,AGURAIN-SALVATIERRA DE ÁLAVA
1208,317,ESPAÑA,11213,42.8695990,-2.3068070,"C/ Estación Ferrocarril, S/N",ZALDUONDO,ARABA/ÁLAVA,ARAIA
31800,318,ESPAÑA,11300,42.8948470,-2.1812370,"C/ Estación Ferrocarril, S/N",ALTSASUALSASUA,NAVARRA,ALTSASU
20220,319,ESPAÑA,11305,43.0189865,-2.3346811,"Brinkola Nucleo -  Legazpia, S/N",LEGAZPI,GIPUZKOA,BRINKOLA
20320,320,ESPAÑA,11306,43.0510385,-2.3306103,"C/ Estación, S/N",LEGAZPI,GIPUZKOA,LEGAZPI
20700,321,ESPAÑA,11400,43.0870824,-2.3202298,Estación S/N,ZUMARRAGA,GIPUZKOA,ZUMARRAGA
20216,322,ESPAÑA,11402,43.0402752,-2.2564620,"Sakabanatua, 23",ORMAIZTEGI,GIPUZKOA,ORMÁIZTEGUI
20200,323,ESPAÑA,11404,43.0462687,-2.2022994,"Pla. Barrendain, S/N",BEASAIN,GIPUZKOA,BEASAIN
20240,324,ESPAÑA,11405,43.0527547,-2.1791923,Joseba Rezolaren Pasalekua,ORDIZIA,GIPUZKOA,ORDIZIA
20400,325,ESPAÑA,11500,43.1354472,-2.0790886,Geltoki Kalea - Bajo,TOLOSA,GIPUZKOA,TOLOSA
20400,326,ESPAÑA,11501,43.1393963,-2.0741122,Pablo Gorosabel,TOLOSA,GIPUZKOA,TOLOSA-CENTRO
20150,327,ESPAÑA,11503,43.1891906,-2.0553722,"C/ Aurrerra Pla., 5",VILLABONA,GIPUZKOA,BILLABONA-ZIZURKIL
