RECORRIDO,SALIDA,LLEGADA,DURACION
18102,09.22,13.15,3h 53min
18104,16.29,20.07,3h 38min
18102,09.22,13.15,3h 53min
18104,16.29,20.07,3h 38min
18102,09.22,13.15,3h 53min
18102,09.22,13.15,3h 53min
18104,16.29,20.07,3h 38min
18102,09.22,13.15,3h 53min
37072,07.10,09.15,2h 05min
04072,07.10,14.25,7h 15min
18102,09.22,13.15,3h 53min
18104,16.29,20.07,3h 38min
04192,19.22,22.07,2h 45min
18102,09.22,13.15,3h 53min
18104,16.29,20.07,3h 38min
18102,09.22,13.15,3h 53min
18105,18.34,22.25,3h 51min
18102,09.22,13.15,3h 53min
18104,16.29,20.07,3h 38min
18102,09.22,13.15,3h 53min
18102,09.22,13.15,3h 53min
37072,07.10,09.15,2h 05min
04072,07.10,14.25,7h 15min
18102,09.22,13.15,3h 53min
18104,16.29,20.07,3h 38min
04192,19.22,22.07,2h 45min
18102,09.22,13.15,3h 53min
18104,16.29,20.07,3h 38min
18102,09.22,13.15,3h 53min
18104,16.29,20.07,3h 38min
18102,09.22,13.15,3h 53min
18102,09.22,13.15,3h 53min
18104,16.29,20.07,3h 38min
18102,09.22,13.15,3h 53min
18104,16.29,20.07,3h 38min
18101,09.56,13.40,3h 44min
18105,18.34,22.25,3h 51min
18216,07.15,07.51,0h 36min
18002,07.11,10.54,3h 43min
38002,08.02,08.33,0h 31min
18102,09.22,13.15,3h 53min
38102,12.45,13.15,0h 30min
18308,13.36,15.44,2h 08min
38308,13.36,14.08,0h 32min
18218,15.51,17.09,1h 18min
18212,16.45,17.21,0h 36min
12100,14.22,19.54,5h 32min
18104,16.29,20.07,3h 38min
38104,19.44,20.07,0h 23min
18105,18.34,22.25,3h 51min
18101,09.56,13.40,3h 44min
18105,18.34,22.25,3h 51min
18216,07.15,07.51,0h 36min
18102,09.22,13.15,3h 53min
38102,12.45,13.15,0h 30min
18308,13.36,15.44,2h 08min
38308,13.36,14.08,0h 32min
18218,15.51,17.09,1h 18min
18212,16.45,17.21,0h 36min
12100,14.22,19.54,5h 32min
18066,05.57,08.50,2h 53min
38066,05.57,06.26,0h 29min
18216,07.15,07.51,0h 36min
18002,07.11,10.54,3h 43min
38002,08.02,08.33,0h 31min
18010,07.13,12.52,5h 39min
38010,10.11,10.38,0h 27min
18102,09.22,13.15,3h 53min
38102,12.45,13.15,0h 30min
18308,13.36,15.44,2h 08min
38308,13.36,14.08,0h 32min
18012,09.33,18.20,8h 47min
38112,15.37,16.02,0h 25min
18218,15.51,17.09,1h 18min
18212,16.45,17.21,0h 36min
18006,16.15,20.06,3h 51min
38006,17.05,17.42,0h 37min
18014,13.21,21.10,7h 49min
38114,18.29,18.50,0h 21min
12100,14.22,19.54,5h 32min
18104,16.29,20.07,3h 38min
38104,19.44,20.07,0h 23min
18218,15.51,17.09,1h 18min
18101,09.56,13.40,3h 44min
18105,18.34,22.25,3h 51min
18105,18.34,22.25,3h 51min
18308,13.36,15.44,2h 08min
18105,18.34,22.25,3h 51min
18101,09.56,13.40,3h 44min
18105,18.34,22.25,3h 51min
18218,15.51,17.09,1h 18min
18216,07.15,07.51,0h 36min
18102,09.22,13.15,3h 53min
38102,12.45,13.15,0h 30min
18218,15.51,17.09,1h 18min
18212,16.45,17.21,0h 36min
12100,14.22,19.54,5h 32min
18216,07.15,07.51,0h 36min
18102,09.22,13.15,3h 53min
38102,12.45,13.15,0h 30min
18218,15.51,17.09,1h 18min
18212,16.45,17.21,0h 36min
12100,14.22,19.54,5h 32min
18218,15.51,17.09,1h 18min
18065,17.40,23.25,5h 45min
12101,07.05,12.34,5h 29min
18101,09.56,13.40,3h 44min
38401,09.56,10.27,0h 31min
38061,11.49,12.15,0h 26min
18061,09.42,12.15,2h 33min
18211,12.30,13.00,0h 30min
18217,14.14,14.53,0h 39min
18063,13.00,15.42,2h 42min
38063,15.16,15.43,0h 27min
18306,14.06,16.08,2h 02min
38306,15.09,16.08,0h 59min
18105,18.34,22.25,3h 51min
38105,18.34,19.05,0h 31min
18003,17.00,20.26,3h 26min
38303,19.10,19.38,0h 28min
18219,19.39,20.17,0h 38min
38065,20.05,20.52,0h 47min
18065,17.40,20.52,3h 12min
18005,19.00,22.34,3h 34min
38005,21.18,21.46,0h 28min
18007,20.59,23.46,2h 47min
18101,09.56,13.40,3h 44min
18105,18.34,22.25,3h 51min
18101,09.56,13.40,3h 44min
18105,18.34,22.25,3h 51min
12101,07.05,12.34,5h 29min
18003,17.00,20.26,3h 26min
18005,19.00,22.34,3h 34min
18105,18.34,22.25,3h 51min
18065,17.40,23.25,5h 45min
12101,07.05,12.34,5h 29min
18003,17.00,20.26,3h 26min
18005,19.00,22.34,3h 34min
18308,13.36,15.44,2h 08min
18101,09.56,13.40,3h 44min
18105,18.34,22.25,3h 51min
18101,09.56,13.40,3h 44min
18105,18.34,22.25,3h 51min
18218,15.51,17.09,1h 18min
18321,07.22,09.52,2h 30min
18321,07.22,09.52,2h 30min
18321,07.22,09.52,2h 30min
18321,07.22,09.52,2h 30min
18321,07.22,09.52,2h 30min
18101,09.56,13.40,3h 44min
18105,18.34,22.25,3h 51min
12101,07.05,12.34,5h 29min
18101,09.56,13.40,3h 44min
38401,09.56,10.27,0h 31min
18211,12.30,13.00,0h 30min
18217,14.14,14.53,0h 39min
18306,14.06,16.08,2h 02min
38306,15.09,16.08,0h 59min
18105,18.34,22.25,3h 51min
38105,18.34,19.05,0h 31min
18219,19.39,20.17,0h 38min
18105,18.34,22.25,3h 51min
18101,09.56,13.40,3h 44min
18105,18.34,22.25,3h 51min
12101,07.05,12.34,5h 29min
18101,09.56,13.40,3h 44min
38401,09.56,10.27,0h 31min
18211,12.30,13.00,0h 30min
18217,14.14,14.53,0h 39min
18105,18.34,22.25,3h 51min
38105,18.34,19.05,0h 31min
18219,19.39,20.17,0h 38min
18216,07.15,07.51,0h 36min
18002,07.11,10.54,3h 43min
38002,08.02,08.33,0h 31min
18102,09.22,13.15,3h 53min
38102,12.45,13.15,0h 30min
18308,13.36,15.44,2h 08min
38308,13.36,14.08,0h 32min
18218,15.51,17.09,1h 18min
18212,16.45,17.21,0h 36min
12100,14.22,19.54,5h 32min
18104,16.29,20.07,3h 38min
38104,19.44,20.07,0h 23min
18218,15.51,17.09,1h 18min
18101,09.56,13.40,3h 44min
18105,18.34,22.25,3h 51min
18105,18.34,22.25,3h 51min
18308,13.36,15.44,2h 08min
18105,18.34,22.25,3h 51min
18101,09.56,13.40,3h 44min
18105,18.34,22.25,3h 51min
18218,15.51,17.09,1h 18min
12101,07.05,12.34,5h 29min
18101,09.56,13.40,3h 44min
38401,09.56,10.27,0h 31min
18211,12.30,13.00,0h 30min
18217,14.14,14.53,0h 39min
18105,18.34,22.25,3h 51min
38105,18.34,19.05,0h 31min
18219,19.39,20.17,0h 38min
18101,09.56,13.40,3h 44min
38401,09.56,10.27,0h 31min
18211,12.30,13.00,0h 30min
18217,14.14,14.53,0h 39min
18105,18.34,22.25,3h 51min
38105,18.34,19.05,0h 31min
18219,19.39,20.17,0h 38min
18218,15.51,17.09,1h 18min
12101,07.05,12.34,5h 29min
18101,09.56,13.40,3h 44min
38401,09.56,10.27,0h 31min
18211,12.30,13.00,0h 30min
18217,14.14,14.53,0h 39min
18306,14.06,16.08,2h 02min
38306,15.09,16.08,0h 59min
18105,18.34,22.25,3h 51min
38105,18.34,19.05,0h 31min
18219,19.39,20.17,0h 38min
18101,09.56,13.40,3h 44min
18105,18.34,22.25,3h 51min
18101,09.56,13.40,3h 44min
18105,18.34,22.25,3h 51min
12101,07.05,12.34,5h 29min
18105,18.34,22.25,3h 51min
12101,07.05,12.34,5h 29min
18308,13.36,15.44,2h 08min
18101,09.56,13.40,3h 44min
18105,18.34,22.25,3h 51min
18101,09.56,13.40,3h 44min
18105,18.34,22.25,3h 51min
18218,15.51,17.09,1h 18min
18105,18.34,22.25,3h 51min
18102,09.22,13.15,3h 53min
18102,09.22,13.15,3h 53min
18105,18.34,22.25,3h 51min
18102,09.22,13.15,3h 53min
18102,09.22,13.15,3h 53min
18105,18.34,22.25,3h 51min
18105,18.34,22.25,3h 51min
18105,18.34,22.25,3h 51min
18105,18.34,22.25,3h 51min
18102,09.22,13.15,3h 53min
18102,09.22,13.15,3h 53min
18102,09.22,13.15,3h 53min
18105,18.34,22.25,3h 51min
18105,18.34,22.25,3h 51min
18105,18.34,22.25,3h 51min
18105,18.34,22.25,3h 51min
18105,18.34,22.25,3h 51min
18101,09.56,13.40,3h 44min
18105,18.34,22.25,3h 51min
18102,09.22,13.15,3h 53min
18104,16.29,20.07,3h 38min
18102,09.22,13.15,3h 53min
18104,16.29,20.07,3h 38min
18102,09.22,13.15,3h 53min
18102,09.22,13.15,3h 53min
18102,09.22,13.15,3h 53min
18104,16.29,20.07,3h 38min
18102,09.22,13.15,3h 53min
18104,16.29,20.07,3h 38min
18102,09.22,13.15,3h 53min
18105,18.34,22.25,3h 51min
18102,09.22,13.15,3h 53min
18104,16.29,20.07,3h 38min
18102,09.22,13.15,3h 53min
18102,09.22,13.15,3h 53min
18102,09.22,13.15,3h 53min
18104,16.29,20.07,3h 38min
18102,09.22,13.15,3h 53min
18104,16.29,20.07,3h 38min
18102,09.22,13.15,3h 53min
18104,16.29,20.07,3h 38min
18105,18.34,22.25,3h 51min
18102,09.22,13.15,3h 53min
18104,16.29,20.07,3h 38min
18102,09.22,13.15,3h 53min
18104,16.29,20.07,3h 38min
18101,09.56,13.40,3h 44min
18105,18.34,22.25,3h 51min
12101,07.05,12.34,5h 29min
18101,09.56,13.40,3h 44min
38401,09.56,10.27,0h 31min
18211,12.30,13.00,0h 30min
18217,14.14,14.53,0h 39min
18105,18.34,22.25,3h 51min
38105,18.34,19.05,0h 31min
18219,19.39,20.17,0h 38min
18007,20.59,23.46,2h 47min
18216,07.15,07.51,0h 36min
18102,09.22,13.15,3h 53min
38102,12.45,13.15,0h 30min
18308,13.36,15.44,2h 08min
38308,13.36,14.08,0h 32min
18218,15.51,17.09,1h 18min
18212,16.45,17.21,0h 36min
12100,14.22,19.54,5h 32min
18105,18.34,22.25,3h 51min
18101,09.56,13.40,3h 44min
18105,18.34,22.25,3h 51min
18216,07.15,07.51,0h 36min
18102,09.22,13.15,3h 53min
38102,12.45,13.15,0h 30min
18308,13.36,15.44,2h 08min
38308,13.36,14.08,0h 32min
18218,15.51,17.09,1h 18min
18212,16.45,17.21,0h 36min
12100,14.22,19.54,5h 32min
18218,15.51,17.09,1h 18min
18101,09.56,13.40,3h 44min
18105,18.34,22.25,3h 51min
18105,18.34,22.25,3h 51min
18308,13.36,15.44,2h 08min
18105,18.34,22.25,3h 51min
18101,09.56,13.40,3h 44min
18105,18.34,22.25,3h 51min
18218,15.51,17.09,1h 18min
18216,07.15,07.51,0h 36min
18102,09.22,13.15,3h 53min
38102,12.45,13.15,0h 30min
18218,15.51,17.09,1h 18min
18212,16.45,17.21,0h 36min
12100,14.22,19.54,5h 32min
18216,07.15,07.51,0h 36min
18102,09.22,13.15,3h 53min
38102,12.45,13.15,0h 30min
18218,15.51,17.09,1h 18min
18212,16.45,17.21,0h 36min
12100,14.22,19.54,5h 32min
18218,15.51,17.09,1h 18min
12101,07.05,12.34,5h 29min
18101,09.56,13.40,3h 44min
38401,09.56,10.27,0h 31min
18211,12.30,13.00,0h 30min
18217,14.14,14.53,0h 39min
18105,18.34,22.25,3h 51min
38105,18.34,19.05,0h 31min
18219,19.39,20.17,0h 38min
18007,20.59,23.46,2h 47min
18101,09.56,13.40,3h 44min
18105,18.34,22.25,3h 51min
18101,09.56,13.40,3h 44min
18105,18.34,22.25,3h 51min
12101,07.05,12.34,5h 29min
18105,18.34,22.25,3h 51min
12101,07.05,12.34,5h 29min
18308,13.36,15.44,2h 08min
18101,09.56,13.40,3h 44min
18105,18.34,22.25,3h 51min
18101,09.56,13.40,3h 44min
18105,18.34,22.25,3h 51min
18218,15.51,17.09,1h 18min
04073,07.59,11.23,3h 24min
18101,09.56,13.40,3h 44min
18105,18.34,22.25,3h 51min
37193,20.53,23.02,2h 09min
04193,20.18,23.02,2h 44min
12101,07.05,12.34,5h 29min
18101,09.56,13.40,3h 44min
38401,09.56,10.27,0h 31min
18061,09.42,17.51,8h 09min
38061,11.49,12.15,0h 26min
18211,12.30,13.00,0h 30min
18217,14.14,14.53,0h 39min
38063,15.16,15.43,0h 27min
18063,13.00,20.47,7h 47min
18306,14.06,16.08,2h 02min
38306,15.09,16.08,0h 59min
18105,18.34,22.25,3h 51min
38105,18.34,19.05,0h 31min
18003,17.00,20.26,3h 26min
38303,19.10,19.38,0h 28min
18219,19.39,20.17,0h 38min
18065,17.40,23.25,5h 45min
38065,20.05,20.52,0h 47min
18005,19.00,22.34,3h 34min
38005,21.18,21.46,0h 28min
18007,20.59,23.46,2h 47min
18322,18.01,20.31,2h 30min
12101,07.05,12.34,5h 29min
38301,07.40,08.07,0h 27min
17201,07.13,08.08,0h 55min
18101,09.56,13.40,3h 44min
38401,09.56,10.27,0h 31min
18211,12.30,13.00,0h 30min
18217,14.14,14.53,0h 39min
18306,14.06,16.08,2h 02min
38306,15.09,16.08,0h 59min
18105,18.34,22.25,3h 51min
