CODIGO,TIPO,PARADAS
18102,REG.EXP.,SANTANDER | VALDECILLA | MALIAÑO | RENEDO | TORRELAVEGA | LOS CORRALES DE BUELNA | BÁRCENA | REINOSA | MATAPORQUERA | QUINTANILLA DE LAS TORRES | AGUILAR DE CAMPOO | MAVE | ALAR DEL REY | HERRERA DE PISUERGA | ESPINOSA DE VILLAGONZALO | OSORNO | FRÓMISTA | PIÑA | AMUSCO | EL CARRIÓN | MONZÓN DE CAMPOS | PALENCIA | VENTA DE BAÑOS | DUEÑAS | CUBILLAS DE SANTA MARTA | CORCOS-AGUILAREJO | CABEZÓN DEL PISUERGA | VALLADOLID UNIVERSIDAD | VALLADOLID-CAMPO GRANDE
18104,REG.EXP.,SANTANDER | VALDECILLA | MALIAÑO | RENEDO | TORRELAVEGA | LOS CORRALES DE BUELNA | BÁRCENA | REINOSA | MATAPORQUERA | AGUILAR DE CAMPOO | ALAR DEL REY | HERRERA DE PISUERGA | ESPINOSA DE VILLAGONZALO | OSORNO | FRÓMISTA | PIÑA | EL CARRIÓN | PALENCIA | VENTA DE BAÑOS | VALLADOLID UNIVERSIDAD | VALLADOLID-CAMPO GRANDE
18102,REG.EXP.,SANTANDER | VALDECILLA | MALIAÑO | RENEDO | TORRELAVEGA | LOS CORRALES DE BUELNA | BÁRCENA | REINOSA | MATAPORQUERA | QUINTANILLA DE LAS TORRES | AGUILAR DE CAMPOO | MAVE | ALAR DEL REY | HERRERA DE PISUERGA | ESPINOSA DE VILLAGONZALO | OSORNO | FRÓMISTA | PIÑA | AMUSCO | EL CARRIÓN | MONZÓN DE CAMPOS | PALENCIA | VENTA DE BAÑOS | DUEÑAS | CUBILLAS DE SANTA MARTA | CORCOS-AGUILAREJO | CABEZÓN DEL PISUERGA | VALLADOLID UNIVERSIDAD | VALLADOLID-CAMPO GRANDE
18104,REG.EXP.,SANTANDER | VALDECILLA | MALIAÑO | RENEDO | TORRELAVEGA | LOS CORRALES DE BUELNA | BÁRCENA | REINOSA | MATAPORQUERA | AGUILAR DE CAMPOO | ALAR DEL REY | HERRERA DE PISUERGA | ESPINOSA DE VILLAGONZALO | OSORNO | FRÓMISTA | PIÑA | EL CARRIÓN | PALENCIA | VENTA DE BAÑOS | VALLADOLID UNIVERSIDAD | VALLADOLID-CAMPO GRANDE
18102,REG.EXP.,SANTANDER | VALDECILLA | MALIAÑO | RENEDO | TORRELAVEGA | LOS CORRALES DE BUELNA | BÁRCENA | REINOSA | MATAPORQUERA | QUINTANILLA DE LAS TORRES | AGUILAR DE CAMPOO | MAVE | ALAR DEL REY | HERRERA DE PISUERGA | ESPINOSA DE VILLAGONZALO | OSORNO | FRÓMISTA | PIÑA | AMUSCO | EL CARRIÓN | MONZÓN DE CAMPOS | PALENCIA | VENTA DE BAÑOS | DUEÑAS | CUBILLAS DE SANTA MARTA | CORCOS-AGUILAREJO | CABEZÓN DEL PISUERGA | VALLADOLID UNIVERSIDAD | VALLADOLID-CAMPO GRANDE
18102,REG.EXP.,SANTANDER | VALDECILLA | MALIAÑO | RENEDO | TORRELAVEGA | LOS CORRALES DE BUELNA | BÁRCENA | REINOSA | MATAPORQUERA | QUINTANILLA DE LAS TORRES | AGUILAR DE CAMPOO | MAVE | ALAR DEL REY | HERRERA DE PISUERGA | ESPINOSA DE VILLAGONZALO | OSORNO | FRÓMISTA | PIÑA | AMUSCO | EL CARRIÓN | MONZÓN DE CAMPOS | PALENCIA | VENTA DE BAÑOS | DUEÑAS | CUBILLAS DE SANTA MARTA | CORCOS-AGUILAREJO | CABEZÓN DEL PISUERGA | VALLADOLID UNIVERSIDAD | VALLADOLID-CAMPO GRANDE
18104,REG.EXP.,SANTANDER | VALDECILLA | MALIAÑO | RENEDO | TORRELAVEGA | LOS CORRALES DE BUELNA | BÁRCENA | REINOSA | MATAPORQUERA | AGUILAR DE CAMPOO | ALAR DEL REY | HERRERA DE PISUERGA | ESPINOSA DE VILLAGONZALO | OSORNO | FRÓMISTA | PIÑA | EL CARRIÓN | PALENCIA | VENTA DE BAÑOS | VALLADOLID UNIVERSIDAD | VALLADOLID-CAMPO GRANDE
18102,REG.EXP.,SANTANDER | VALDECILLA | MALIAÑO | RENEDO | TORRELAVEGA | LOS CORRALES DE BUELNA | BÁRCENA | REINOSA | MATAPORQUERA | QUINTANILLA DE LAS TORRES | AGUILAR DE CAMPOO | MAVE | ALAR DEL REY | HERRERA DE PISUERGA | ESPINOSA DE VILLAGONZALO | OSORNO | FRÓMISTA | PIÑA | AMUSCO | EL CARRIÓN | MONZÓN DE CAMPOS | PALENCIA | VENTA DE BAÑOS | DUEÑAS | CUBILLAS DE SANTA MARTA | CORCOS-AGUILAREJO | CABEZÓN DEL PISUERGA | VALLADOLID UNIVERSIDAD | VALLADOLID-CAMPO GRANDE
37072,MD,SANTANDER | TORRELAVEGA | REINOSA | AGUILAR DE CAMPOO | PALENCIA | VALLADOLID-CAMPO GRANDE
04072,ALVIA,SANTANDER | TORRELAVEGA | REINOSA | AGUILAR DE CAMPOO | PALENCIA | VALLADOLID-CAMPO GRANDE | SEGOVIA-GUIOMAR | MADRID-CHAMARTÍN-CLARA CAMPOAMOR | CUENCA-FERNANDO ZÓBEL | ALBACETE-LOS LLANOS | VILLENA ALTA VELOCIDAD | ALICANTE/ALACANT-TERMINAL
