codigo,label,poblacion,coordenadas
01001,Alegría de Álava,2955,Point(-2.511944444 42.844166666)
01002,Amurrio,10364,Point(-3.000896 43.0525066)
01003,Aramayona,1354,Point(-2.585663195 43.03520365)
01004,Arceniega,1868,Point(-3.140961176 43.1299385)
01006,Armiñón,236,Point(-2.8722115 42.722587)
01008,Arrazua-Ubarrundia,1056,Point(-2.639166666 42.890277777)
01009,Aspárrena,1609,Point(-2.284788861 42.8861483)
01010,Ayala,2921,Point(-3.078922917 43.07656)
01011,Baños de Ebro,286,Point(-2.679444444 42.53)
01013,Barrundia,882,Point(-2.502957468 42.91528705)
01014,Berantevilla,461,Point(-2.8589445 42.682852)
01016,Bernedo,541,Point(-2.4980928 42.6267187)
01017,Campezo,1073,Point(-2.369947595 42.68678985)
01018,Cigoitia,1845,Point(-2.728151159 42.9683205)
01019,Cripán,174,Point(-2.516111111 42.591666666)
01020,Cuartango,402,Point(-2.927502214 42.88623625)
01021,Elburgo,642,Point(-2.545677 42.8494909)
01022,Elciego,971,Point(-2.6183241 42.5147699)
01023,Elvillar,315,Point(-2.545 42.570555555)
01027,Iruraiz-Gauna,559,Point(-2.5 42.816666666)
01028,Labastida,1558,Point(-2.7928698 42.5903817)
01030,Lagrán,177,Point(-2.584444444 42.625555555)
01031,Laguardia,1459,Point(-2.583055555 42.55)
01032,Lanciego,700,Point(-2.5126326 42.5627681)
01033,Lapuebla de Labarca,895,Point(-2.571111111 42.495833333)
01034,Leza,205,Point(-2.633611111 42.566111111)
01036,Llodio,18077,Point(-2.956111111 43.151111111)
01037,Arraya-Maestu,812,Point(-2.447996624 42.74065855)
01039,Moreda de Álava,218,Point(-2.408055555 42.525)
01041,Navaridas,192,Point(-2.623333333 42.546111111)
01042,Oquendo,1184,Point(-3.018888888 43.162222222)
01043,Oyón,3476,Point(-2.4364407 42.5059034)
01044,Peñacerrada,332,Point(-2.7135349 42.6442584)
01046,Ribera Alta,839,Point(-2.904371125 42.79819925)
01047,Ribera Baja,1477,Point(-2.8912758 42.7397636)
01049,Añana,141,Point(-2.986388888 42.801944444)
01051,Salvatierra,5189,Point(-2.3890554 42.8492849)
01052,Samaniego,292,Point(-2.6790583 42.5682299)
01053,San Millán,701,Point(-2.376111111 42.874722222)
01054,Urcabustaiz,1470,Point(-2.903333333 42.954722222)
01055,Valdegovía,1064,Point(-3.060860075 42.8546615)
01056,Valle de Arana,212,Point(-2.320570256 42.7565931)
01057,Villabuena de Álava,276,Point(-2.665437 42.5470187)
01058,Villarreal de Álava,2094,Point(-2.6467053 42.9809869)
01059,Vitoria,260699,Point(-2.673055555 42.846666666)
01060,Yécora,278,Point(-2.4704125 42.5678)
01061,Zalduendo de Álava,195,Point(-2.3470952 42.8858496)
01062,Zambrana,452,Point(-2.8789365 42.6616842)
01063,Zuya,2350,Point(-2.832541281 42.98189485)
01901,Iruña de Oca,3704,Point(-2.812777777 42.819166666)
01902,Lantarón,929,Point(-2.994677543 42.7468622)
02001,Abengibre,753,Point(-1.538276448 39.2129246)
02002,Alatoz,504,Point(-1.361662 39.0944262)
02003,Albacete,175400,Point(-1.855833333 38.995555555)
02004,Albatana,644,Point(-1.524166666 38.569722222)
02005,Alborea,672,Point(-1.384332176 39.3007343)
02006,Alcadozo,635,Point(-1.980391 38.6488936)
02007,Alcalá del Júcar,1130,Point(-1.4291702 39.1928959)
02008,Alcaraz,1283,Point(-2.490463 38.666025)
02009,Almansa,24615,Point(-1.0978627 38.8682065)
02010,Alpera,2278,Point(-1.2311299 38.9589152)
02011,Aýna,577,Point(-2.070833333 38.553055555)
02012,Balazote,2356,Point(-2.1525166 38.8850397)
02013,Balsa de Ves,121,Point(-1.195277777 39.264444444)
02014,El Ballestero,411,Point(-2.4553398 38.8417072)
02015,Barrax,1838,Point(-2.2004126 39.0460357)
02016,Bienservida,548,Point(-2.6113534 38.5156703)
02017,Bogarra,727,Point(-2.2130612 38.5819199)
02018,Bonete,950,Point(-1.348055555 38.871666666)
02019,El Bonillo,2645,Point(-2.533055555 38.95)
02020,Carcelén,483,Point(-1.308333333 39.102777777)
02021,Casas de Juan Núñez,1409,Point(-1.5570127 39.1020475)
02022,Casas de Lázaro,298,Point(-2.261392079 38.77388185)
02023,Casas de Ves,519,Point(-1.320555555 39.246111111)
02024,Casas-Ibáñez,4616,Point(-1.472403096 39.3080516)
02025,Caudete,10439,Point(-0.983055555 38.7)
02026,Cenizate,1163,Point(-1.653089611 39.29580675)
02027,Corral-Rubio,303,Point(-1.461111111 38.835)
02028,Cotillas,123,Point(-2.506944444 38.431111111)
02029,Chinchilla de Montearagón,4614,Point(-1.7263661 38.9196034)
02030,Elche de la Sierra,3603,Point(-2.0489954 38.4483634)
02031,Férez,604,Point(-2.010277777 38.356111111)
02032,Fuensanta,282,Point(-2.06734 39.2414)
02032,Fuensanta,282,Point(-2.069166666 39.245277777)
02033,Fuente-Álamo,2422,Point(-1.4316539 38.6924503)
02034,Fuentealbilla,1804,Point(-1.549166666 39.266666666)
02035,La Gineta,2656,Point(-1.9962065 39.1152257)
