ID,CODIGO,DESCRIPCION,LATITUD,LONGITUD,DIRECCION,CP,POBLACION,PROVINCIA,PAIS
1,1003,ARAHAL,37.2680810,-5.5485140,"C/ Virgen de los Dolores, S/N",41600,ARAHAL,SEVILLA,ESPAÑA
2,1005,MARCHENA,37.3342820,-5.4255190,"Avda. Maestro Santos Rúano, 8",41620,MARCHENA,SEVILLA,ESPAÑA
3,1007,OSUNA,37.2338990,-5.1150260,"Avda. Estación Ferrocarril, S/N",41640,OSUNA,SEVILLA,ESPAÑA
4,1009,PEDRERA,37.2223960,-4.8935190,"C/ Manuel Aranda, 3",41566,PEDRERA,SEVILLA,ESPAÑA
5,2002,PUENTE GENIL-HERRERA,37.3579000,-4.8216380,Ctra. A-318 - Km. 9 - Entre los Pueblos de Puente Genil (Cordoba) y Herrera (Sevilla),14500,PUENTE GENIL,CÓRDOBA,ESPAÑA
6,2003,ANTEQUERA-SANTA ANA,37.0698810,-4.7190140,"Ctra. Ma - 5406 - Estación Ferrocarril, S/N",29540,ANTEQUERA,MÁLAGA,ESPAÑA
7,2030,ANTEQUERA AV,37.0334437,-4.5612901,Ctra A-7281 Antigua Carretera de Córdoba S/N,29200,ANTEQUERA,MÁLAGA,ESPAÑA
8,3001,MENGÍBAR-ARTICHUELA,37.9782190,-3.8033080,"C/ Camino Estación Ferrocarril, S/N",23620,MENGÍBAR,JAÉN,ESPAÑA
9,3003,GRANENA (APD-CGD),37.8477120,-3.7653990,,,JAÉN,JAÉN,ESPAÑA
10,3100,JAÉN,37.7798270,-3.7907980,"Pla. de Jaen Por la Paz, 1",23007,JAÉN,JAÉN,ESPAÑA
11,3208,CUENCA-FERNANDO ZÓBEL,40.0351920,-2.1444100,"Avda. Cerro de la Estrella, S/N --- N-320 - Circunvalacion de Cuenca",16004,CUENCA,CUENCA,ESPAÑA
12,3213,REQUENA-UTIEL,39.5198340,-1.1276010,Autovia A3 - Salida 285,46340,REQUENA,VALENCIA/VALÈNCIA,ESPAÑA
17,4007,GUADALAJARA-YEBES,40.5873150,-3.1243010,"Ctra. N - 320 --- Sacedon-Cuenca, Km 268",19000,YEBES,GUADALAJARA,ESPAÑA
20,4307,FIGUERES-VILAFANT,42.2647710,2.94354700,"Avda. Puig Grau, S/N",17740,VILAFANT,GIRONA,ESPAÑA
21,5000,GRANADA,37.1840380,-3.6091540,"Avda. de los Andaluces, S/N",18014,GRANADA,GRANADA,ESPAÑA
22,5012,LOJA,37.1753720,-4.1348410,"C/ Fuente Don Pedro, S/N",18300,LOJA,GRANADA,ESPAÑA
23,5013,LOJA-SAN FRANCISCO,37.1748680,-4.1494790,"Plaza Estacion Ferrocarril, 56",18300,LOJA,GRANADA,ESPAÑA
24,5019,ANTEQUERA-CIUDAD,37.0281710,-4.5609110,"Barriada Estacion, S/N",29200,ANTEQUERA,MÁLAGA,ESPAÑA
509,13003,IZARRA,42.9514090,-2.9007550,,,URKABUSTAIZ,ARABA/ÁLAVA,ESPAÑA
415,8004,SEGOVIA-GUIOMAR,40.9105770,-4.0945640,"Paseo Campos de Castilla, S/N",40006,SEGOVIA,SEGOVIA,ESPAÑA
416,8223,VIGO URZAIZ,42.2341890,-8.7137280,Rúa Vía Norte S/N,36201,VIGO,PONTEVEDRA,ESPAÑA
417,8224,REDONDELA AV,42.2860050,-8.6194020,"Estrada de Pazos, 10",36818,REDONDELA,PONTEVEDRA,ESPAÑA
418,8240,MEDINA DEL CAMPO AV,41.3174590,-4.9100710,"Ctra. Vp-8904 de las Salinas, Km 1,500",47400,MEDINA DEL CAMPO,VALLADOLID,ESPAÑA
419,8247,SANABRIA AV,42.0450532,-6.5631319,"Carretera N-525 P.k. 78+100,  Polígono 34 Parcela 9006",49320,PUEBLA DE SANABRIA,ZAMORA,ESPAÑA
420,8251,A GUDIÑA-PORTA DE GALICIA,42.0635401,-7.1355604,"Rúa Viana, S/N",32540,GUDIÑA (A),OURENSE,ESPAÑA
436,10207,LAS NAVAS DEL MARQUÉS,40.5892050,-4.3622590,"Avda. Estación Ferrocarril, S/N",5230,NAVAS DEL MARQUÉS (LAS),ÁVILA,ESPAÑA
437,10208,NAVALPERAL,40.5911520,-4.4083820,"Avda. Estación Ferrocarril, S/N",5240,NAVALPERAL DE PINARES,ÁVILA,ESPAÑA
438,10209,EL PIMPOLLAR,40.5675870,-4.2835410,"C/ Estación Ferrocarril, S/N",28296,SANTA MARÍA DE LA ALAMEDA,MADRID,ESPAÑA
439,10300,HERRADÓN-LA CAÑADA,40.5992750,-4.4950390,"Avda. Estación Ferrocarril, S/N",5294,HERRADÓN DE PINARES,ÁVILA,ESPAÑA
440,10302,GUIMORCONDO,40.6490620,-4.6149870,"Avda. Estación Ferrocarril, S/N",5004,ÁVILA,ÁVILA,ESPAÑA
441,10400,ÁVILA,40.6572550,-4.6833120,"Paseo Estación Ferrocarril, S/N",5001,ÁVILA,ÁVILA,ESPAÑA
442,10409,ARÉVALO,41.0471230,-4.7019880,"C/ Deposito, S/N",5200,ARÉVALO,ÁVILA,ESPAÑA
443,10500,MEDINA DEL CAMPO,41.3176170,-4.9099230,"Avda. Estación Ferrocarril, 27",47400,MEDINA DEL CAMPO,VALLADOLID,ESPAÑA
444,10501,POZALDEZ,41.3679200,-4.8360010,"C/ Estación Ferrocarril, S/N",47220,POZALDEZ,VALLADOLID,ESPAÑA
445,10502,MATAPOZUELOS,41.4227940,-4.8010250,"C/ Camino Estación Ferrocarril, S/N",47230,MATAPOZUELOS,VALLADOLID,ESPAÑA
446,10503,VALDESTILLAS,41.4887290,-4.7729370,"Avda. Valladolid, S/N",47240,VALDESTILLAS,VALLADOLID,ESPAÑA
447,10504,VIANA,41.5240700,-4.7544890,"C/ Estación Ferrocarril, S/N",47150,VIANA DE CEGA,VALLADOLID,ESPAÑA
448,10600,VALLADOLID-CAMPO GRANDE,41.6421670,-4.7269860,"C/ Recondo, S/N",47007,VALLADOLID,VALLADOLID,ESPAÑA
449,10602,CABEZÓN DEL PISUERGA,41.7372760,-4.6512940,"C/ Estación Ferrocarril, S/N",47260,CABEZÓN DE PISUERGA,VALLADOLID,ESPAÑA
